name,iso_country,iso_region,scheduled_service,iata_code
Coffs Harbour Airport,AU,AU-NSW,yes,CFS
Christmas Creek Airport,AU,AU-WA,yes,CKW
Cooktown Airport,AU,AU-QLD,yes,CTN
Cunnamulla Airport,AU,AU-QLD,yes,CMA
Coonamble Airport,AU,AU-NSW,yes,CNB
Coen Airport,AU,AU-QLD,yes,CUQ
Cooma Snowy Mountains Airport,AU,AU-NSW,yes,OOM
Doomadgee Airport,AU,AU-QLD,yes,DMD
Darnley Island Airport,AU,AU-QLD,yes,NLF
Devonport Airport,AU,AU-TAS,yes,DPO
Elcho Island Airport,AU,AU-NT,yes,ELC
Emerald Airport,AU,AU-QLD,yes,EMD
Esperance Airport,AU,AU-WA,yes,EPR
Flinders Island Airport,AU,AU-TAS,yes,FLS
Geraldton Airport,AU,AU-WA,yes,GET
Gladstone Airport,AU,AU-QLD,yes,GLT
Greenway Sound Seaplane Base,CA,CA-BC,yes,YGN
Groote Eylandt Airport,AU,AU-NT,yes,GTE
Griffith Airport,AU,AU-NSW,yes,GFF
Hervey Bay Airport,AU,AU-QLD,yes,HVB
Horn Island Airport,AU,AU-QLD,yes,HID
Hooker Creek Airport,AU,AU-NT,yes,HOK
Mount Hotham Airport,AU,AU-VIC,yes,MHU
Hughenden Airport,AU,AU-QLD,yes,HGD
Julia Creek Airport,AU,AU-QLD,yes,JCK
Kalbarri Airport,AU,AU-WA,yes,KAX
King Island Airport,AU,AU-TAS,yes,KNS
Kalkgurung Airport,AU,AU-NT,yes,KFG
Karumba Airport,AU,AU-QLD,yes,KRB
Kowanyama Airport,AU,AU-QLD,yes,KWM
Kingscote Airport,AU,AU-SA,yes,KGC
Kubin Island Airport,AU,AU-QLD,yes,KUG
Leonora Airport,AU,AU-WA,yes,LNO
Lake Evella Airport,AU,AU-NT,yes,LEL
Lord Howe Island Airport,AU,AU-NSW,yes,LDH
Lockhart River Airport,AU,AU-QLD,yes,IRG
Lismore Airport,AU,AU-NSW,yes,LSY
Lightning Ridge Airport,AU,AU-NSW,yes,LHG
Longreach Airport,AU,AU-QLD,yes,LRE
Leinster Airport,AU,AU-WA,yes,LER
Laverton Airport,AU,AU-WA,yes,LVO
Mabuiag Island Airport,AU,AU-QLD,yes,UBB
Murray Island Airport,AU,AU-QLD,yes,MYI
Avalon Airport,AU,AU-VIC,yes,AVV
Albury Airport,AU,AU-NSW,yes,ABX
Meekatharra Airport,AU,AU-WA,yes,MKR
Melbourne Essendon Airport,AU,AU-VIC,yes,MEB
Merimbula Airport,AU,AU-NSW,yes,MIM
Milingimbi Airport,AU,AU-NT,yes,MGT
Maningrida Airport,AU,AU-NT,yes,MNG
Hobart International Airport,AU,AU-TAS,yes,HBA
McArthur River Mine Airport,AU,AU-NT,yes,MCV
Mildura Airport,AU,AU-VIC,yes,MQL
Launceston Airport,AU,AU-TAS,yes,LST
Melbourne Moorabbin Airport,AU,AU-VIC,yes,MBW
Melbourne International Airport,AU,AU-VIC,yes,MEL
Mount Magnet Airport,AU,AU-WA,yes,MMG
Moree Airport,AU,AU-NSW,yes,MRZ
Moranbah Airport,AU,AU-QLD,yes,MOV
Moruya Airport,AU,AU-NSW,yes,MYA
Mount Gambier Airport,AU,AU-SA,yes,MGB
Mornington Island Airport,AU,AU-QLD,yes,ONG
Narrandera Airport,AU,AU-NSW,yes,NRA
Narrabri Airport,AU,AU-NSW,yes,NAA
Northern Peninsula Airport,AU,AU-QLD,yes,ABM
Yantai Penglai International Airport,CN,CN-37,yes,YNT
Normanton Airport,AU,AU-QLD,yes,NTN
Newman Airport,AU,AU-WA,yes,ZNE
Olympic Dam Airport,AU,AU-SA,yes,OLP
Adelaide International Airport,AU,AU-SA,yes,ADL
Port Augusta Airport,AU,AU-SA,yes,PUG
Palm Island Airport,AU,AU-QLD,yes,PMK
Paraburdoo Airport,AU,AU-WA,yes,PBO
Cocos (Keeling) Islands Airport,CC,CC-U-A,yes,CCK
Darwin International Airport / RAAF Darwin,AU,AU-NT,yes,DRW
Gove Airport,AU,AU-NT,yes,GOV
Karratha Airport,AU,AU-WA,yes,KTA
Kalgoorlie Boulder Airport,AU,AU-WA,yes,KGI
Parkes Airport,AU,AU-NSW,yes,PKE
East Kimberley Regional (Kununurra) Airport,AU,AU-WA,yes,KNX
Port Lincoln Airport,AU,AU-SA,yes,PLO
Learmonth Airport,AU,AU-WA,yes,LEA
Prominent Hill Airport,AU,AU-SA,yes,PXH
Pormpuraaw Airport,AU,AU-QLD,yes,EDR
Port Macquarie Airport,AU,AU-NSW,yes,PQQ
Portland Airport,AU,AU-VIC,yes,PTJ
Port Hedland International Airport,AU,AU-WA,yes,PHE
Perth International Airport,AU,AU-WA,yes,PER
Woomera Airfield,AU,AU-SA,yes,UMR
Christmas Island Airport,CX,CX-U-A,yes,XCH
Quilpie Airport,AU,AU-QLD,yes,ULP
Richmond Airport,AU,AU-QLD,yes,RCM
Ramingining Airport,AU,AU-NT,yes,RAM
Roma Airport,AU,AU-QLD,yes,RMA
Canberra International Airport,AU,AU-ACT,yes,CBR
Dubbo City Regional Airport,AU,AU-NSW,yes,DBO
St George Airport,AU,AU-QLD,yes,SGO
Shark Bay Airport,AU,AU-WA,yes,MJK
Shellharbour Airport,AU,AU-NSW,yes,WOL
Saibai Island Airport,AU,AU-QLD,yes,SBR
Snake Bay Airport,AU,AU-NT,yes,SNB
Norfolk Island International Airport,NF,NF-U-A,yes,NLK
Strahan Airport,AU,AU-TAS,yes,SRN
Sydney Kingsford Smith International Airport,AU,AU-NSW,yes,SYD
Tamworth Airport,AU,AU-NSW,yes,TMW
Wagga Wagga City Airport,AU,AU-NSW,yes,WGA
Thargomindah Airport,AU,AU-QLD,yes,XTG
Thangool Airport,AU,AU-QLD,yes,THG
Tennant Creek Airport,AU,AU-NT,yes,TCA
Taree Airport,AU,AU-NSW,yes,TRO
Warraber Island Airport,AU,AU-QLD,yes,SYU
Windorah Airport,AU,AU-QLD,yes,WNR
Whyalla Airport,AU,AU-SA,yes,WYA
Newcastle Airport,AU,AU-NSW,yes,NTL
Wiluna Airport,AU,AU-WA,yes,WUN
Winton Airport,AU,AU-QLD,yes,WIN
Wynyard Airport,AU,AU-TAS,yes,BWT
Yueyang Sanhe Airport,CN,CN-43,yes,YYA
Yorke Island Airport,AU,AU-QLD,yes,OKR
Yam Island Airport,AU,AU-QLD,yes,XMY
Akiachak Airport,US,US-AK,yes,KKI
Birch Creek Airport,US,US-AK,yes,KBC
Beijing Capital International Airport,CN,CN-11,yes,PEK
Beijing Daxing International Airport,CN,CN-11,yes,PKX
Chengde Puning Airport,CN,CN-13,yes,CDE
Chifeng Yulong Airport,CN,CN-15,yes,CIF
Changzhi Wangcun Airport,CN,CN-14,yes,CIH
Qinhuangdao Beidaihe Airport,CN,CN-13,yes,BPE
Ordos Ejin Horo Airport,CN,CN-15,yes,DSN
Datong Yungang Airport,CN,CN-14,yes,DAT
